QNT,
,10-Nov-15
03f47d85-229c-11de-867d-001a4d7bea59,0
0816b55c-d7da-11e2-9135-000c29571c8f,0
13147a74-5bd2-11de-94cb-00016c1e4dd3,17
1946f479-be05-11e3-b7fc-00155d010402,0
220de2bd-624a-11e3-9b95-00155d010402,0
23c1aeda-7d72-11e1-a727-000c2991346a,0
280d9678-e566-11e2-9135-000c29571c8f,0
280f2869-bffe-11e1-8eb6-000c294c1b0c,25
2e86ebcb-59cb-11db-a985-0002b3507c1a,0
2e86ebcd-59cb-11db-a985-0002b3507c1a,52
2e86ebcf-59cb-11db-a985-0002b3507c1a,0
2e86ebd1-59cb-11db-a985-0002b3507c1a,0
32a9fedf-3806-11e0-a92a-00112fb0c13e,0
384196d9-b25a-11dd-b25c-001cc442018a,13
44e0940e-0093-11e2-97ac-000c294c1b0c,0
5889fbff-7fbc-11db-a986-0002b3507c1a,58
68cece0b-0d66-11e4-9f21-00155d010402,0
6b9b0429-178f-11e4-9f21-00155d010402,0
6ee3ed49-9655-11db-a989-0002b3507c1a,1
7473b863-62b9-11dc-a9a1-0002b3507c1a,3
7473b865-62b9-11dc-a9a1-0002b3507c1a,0
7473b867-62b9-11dc-a9a1-0002b3507c1a,6
7473b869-62b9-11dc-a9a1-0002b3507c1a,17
7d0044ed-e08a-11dd-af24-001cc442018a,10
7fe0723f-192c-11de-9f91-001a4d7bea59,32
81acdebf-b05f-11e1-8eb6-000c294c1b0c,0
8ad31977-1a7a-11e5-9ab3-00505600033d,5
8d244297-043f-11e5-9ab3-00505600033d,4
92cfdb86-9d00-11e3-a62d-00505600033d,0
92cfdb88-9d00-11e3-a62d-00505600033d,4
92cfdb8a-9d00-11e3-a62d-00505600033d,14
92cfdb8c-9d00-11e3-a62d-00505600033d,6
92cfdb8e-9d00-11e3-a62d-00505600033d,0
92cfdb90-9d00-11e3-a62d-00505600033d,0
9313a61d-d990-11de-97e1-0024913abc28,1
94c3bb17-c08f-11e3-b7fc-00155d010402,4
9daa56e6-ac6c-11e0-b481-00155d050118,0
a002227c-bfd1-11df-aede-00016c1e4dd3,0
a0adfee4-913a-11e2-b3f9-00155d531304,8
accc25c9-0646-11e3-91d3-00155d010402,12
b41694c9-e9c4-11db-a990-0002b3507c1a,0
b86bf910-bf2f-11e0-80d6-00155d050114,114
b99fcc07-6c6c-11de-80d5-00016c1e4dd3,1
c89c431c-b429-11e0-80d6-00155d050114,0
c9563080-fbe4-11e1-b417-00505600033d,53
d4a40721-0b4c-11df-92b4-00016c1e4dd3,18
d547f568-cbfb-11e1-8eb6-000c294c1b0c,6
d547f56a-cbfb-11e1-8eb6-000c294c1b0c,30
db7d2e2b-3a02-11e3-811e-00505600033d,0
e1664329-4866-11df-bda9-00016c1e4dd3,19
e45a4db5-cdf4-11de-b34e-0024913abc28,25
e45a4db7-cdf4-11de-b34e-0024913abc28,19
ec8e3f1f-7f50-11e3-a51d-00155d531304,25
f7f0dd4d-b2c0-11db-a98a-0002b3507c1a,0
f7f0dd4f-b2c0-11db-a98a-0002b3507c1a,1
f7f0dd51-b2c0-11db-a98a-0002b3507c1a,1
f890ea8f-39e1-11e0-a92b-00112fb0c13e,2
f890ea91-39e1-11e0-a92b-00112fb0c13e,2
f890ea96-39e1-11e0-a92b-00112fb0c13e,2
f890ea98-39e1-11e0-a92b-00112fb0c13e,2
f99f43e0-4309-11e0-a930-00112fb0c13e,0
fad40877-c495-11e0-a599-00155d050114,0
fad40879-c495-11e0-a599-00155d050114,2
fad4087b-c495-11e0-a599-00155d050114,7
fad4087d-c495-11e0-a599-00155d050114,0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
